,bundle_set,quantity,sub_cat_3_name_en,sku_ready_required_days,packing_box_type,weight,height,length,width,manufacturer_country_en,is_weekend,any_promotion,total_price_range
51881,0,1,Other Frozen Seafood,0,FROZEN,500.0,250,250,30.0,CANADA,weekday,1,< 50
51882,0,1,Other Frozen Seafood,0,FROZEN,1000.0,250,200,30.0,CANADA,weekday,1,51-100
51899,0,1,Other Frozen Seafood,0,FROZEN,250.0,300,220,50.0,CHINA,weekday,0,51-100
51901,0,1,Other Frozen Seafood,0,FROZEN,300.0,200,200,200.0,CHINA,weekday,0,51-100
52025,0,1,Frozen Fish,0,FROZEN,480.0,300,200,70.0,CHINA,weekend,0,< 50
52038,0,1,Frozen Fish,0,FROZEN,250.0,300,150,20.0,NORTH ALANTIC,weekend,0,< 50
52044,0,1,Frozen Fish,0,FROZEN,300.0,270,170,5.0,CHINA,weekend,0,51-100
52052,0,5,Frozen Fish,0,FROZEN,500.0,40,210,160.0,CHINA,weekend,0,51-100
52057,0,1,Frozen Fish,0,FROZEN,400.0,200,200,100.0,UNITED STATES OF AMERICA,weekend,0,101-200
52059,0,1,Frozen Fish,0,FROZEN,300.0,150,150,30.0,MALAYSIA,weekend,0,< 50
52061,0,1,Frozen Fish,0,FROZEN,300.0,350,200,40.0,JAPAN,weekend,0,51-100
52066,0,1,Frozen Fish,0,FROZEN,240.0,200,200,40.0,NORWAY,weekend,0,< 50
52092,0,1,Frozen Fish,0,FROZEN,400.0,250,250,180.0,JAPAN,weekend,0,< 50
52097,0,1,Frozen Fish,0,FROZEN,120.0,250,150,30.0,AUSTRALIA,weekend,0,101-200
52098,0,1,Frozen Fish,0,FROZEN,500.0,150,150,50.0,RUSSIAN FEDERATION,weekend,0,< 50
52099,0,1,Frozen Fish,0,FROZEN,450.0,200,150,40.0,FRANCE,weekend,0,101-200
52100,0,1,Frozen Fish,0,FROZEN,350.0,100,100,40.0,NORWAY,weekend,0,< 50
52102,0,1,Frozen Fish,0,FROZEN,750.0,200,200,200.0,CHINA,weekend,1,101-200
52113,0,1,Frozen Fish,0,FROZEN,400.0,100,100,100.0,CANADA,weekend,0,< 50
52114,0,1,Frozen Fish,0,FROZEN,450.0,300,180,180.0,JAPAN,weekend,0,< 50
52115,0,2,Frozen Fish,0,FROZEN,180.0,300,180,180.0,KOREA,weekend,0,101-200
52117,0,1,Frozen Fish,0,FROZEN,80.0,300,180,180.0,JAPAN,weekend,0,< 50
52127,0,1,Frozen Fish,0,FROZEN,450.0,150,110,80.0,CHINA,weekend,0,< 50
52651,0,1,Frozen Fish,0,FROZEN,600.0,40,290,250.0,FRANCE,weekend,0,101-200
52654,0,1,Frozen Fish,0,FROZEN,150.0,140,200,30.0,JAPAN,weekend,0,< 50
